PBCoreTitle::title,PBCoreDescription::descriptionType,PBCoreDescription::description,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreInstantiation::formatLocation,PBCoreFormatIdentifier::formatIdentifierSource,PBCoreFormatIdentifier::formatIdentifier,PBCoreTitle::titleType,PBCoreTitle::title,PBCoreDescription::description,PBCoreDescription::descriptionType,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreSubject::subjectAuthorityUsed,PBCoreSubject::subject,PBCoreGenre::genreAuthorityUsed,PBCoreGenre::genre,PBCoreRelation::relationType,PBCoreRelation::relationIdentifier,PBCoreCoverage::coverageType,PBCoreCoverage::coverage,PBCoreAudienceLevel::audienceLevel,PBCoreAudienceRating::audienceRating,PBCoreCreator::creatorRole,PBCoreCreator::creator,PBCoreContributor::contributorRole,PBCoreContributor::contributor,PBCorePublisher::publisherRole,PBCorePublisher::publisher,PBCoreRights::rightSummary,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatPhysical,PBCoreInstantiation::formatDigital,asset.instance..PBCInstantiation.pk::formatLocation,asset.instance..PBCInstantiation.pk::formatPhysical,asset.instance..PBCInstantiation.pk::formatDigital,PBCoreInstantiation::formatLocation,asset.instance..PBCInstantiation.pk::formatMediaType,asset.instance..PBCFormatID.fk::formatIdentifierSource,asset.instance..PBCFormatID.fk::formatIdentifier,assetInstance..PBCDateAvailable.fk::dateAvailableStart,assetInstance..PBCDateAvailable.fk::dateAvailableEnd,assetInstance..PBCAnnotation.fk::annotation,PBCoreInstantiation::formatLocation,PBCoreInstantiation::language,PBCoreInstantiation::formatMediaType,PBCoreInstantiation::alternateModes,PBCoreInstantiation::formatLocation,PBCoreInstantiation::dateCreated,PBCoreInstantiation::dateIssued,PBCoreInstantiation::formatGenerations,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatStandard,PBCoreInstantiation::formatFileSize,PBCoreInstantiation::formatBitDepth,PBCoreInstantiation::formatEncoding,PBCoreInstantiation::formatTracks,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatColors,PBCoreInstantiation::formatAspectRatio,PBCoreInstantiation::formatFrameSize,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatTimeStart,PBCoreInstantiation::formatDuration,PBCoreInstantiation::formatSamplingRate,PBCoreInstantiation::formatDataRate,PBCoreInstantiation::formatFrameRate,PBCoreExtension::extensionAuthorityUsed,PBCoreExtension::extension
"Cupid, Registered Guide",Abstract,"Short romantic drama shot in Maine in 1921 and starring Edgar Jones and Edna May Sperl. Doctor Allan Lang is on a camping vacation at Lake Telos and lamenting rumors that his love interest, Lana Candage is to be married to dandy Mortimer Totten, at her father’s wishes. Nearby, Registered Guide Bob Stickney falls from a tree, injures his leg, and Lang spends the remainder of his vacation nursing him back to health before heading back to the city. Once there he finds that Lana has been brought to Telos by her father, where they are ‘surprised’ at their camp by the sudden appearance of Totten. Shortly thereafter, Lana feigns illness in order to request Lang’s presence, and he is reunited with Stickney. Together, the three devise a plan to get the consent of Lana’s father for her marriage to Lang. Features many scenes shot outdoors in the wilderness, canoes on lakes, and an interior of a log cabin.",Northeast Historic Film (Organization),0002.0001,NHF cube,Northeast Historic Film (Organization),0002.0001,Program,"Cupid, Registered Guide","Short romantic drama shot in Maine in 1921 and starring Edgar Jones and Edna May Sperl. Doctor Allan Lang is on a camping vacation at Lake Telos and lamenting rumors that his love interest, Lana Candage is to be married to dandy Mortimer Totten, at her father’s wishes. Nearby, Registered Guide Bob Stickney falls from a tree, injures his leg, and Lang spends the remainder of his vacation nursing him back to health before heading back to the city. Once there he finds that Lana has been brought to Telos by her father, where they are ‘surprised’ at their camp by the sudden appearance of Totten. Shortly thereafter, Lana feigns illness in order to request Lang’s presence, and he is reunited with Stickney. Together, the three devise a plan to get the consent of Lana’s father for her marriage to Lang. Features many scenes shot outdoors in the wilderness, canoes on lakes, and an interior of a log cabin.",Abstract,Northeast Historic Film (Organization),0002.0001,[LC Authorities],Romantic comedy films,,Romance,Is Part Of,Everett Foster Collection,Spatial,Maine,,,Producer,Edgar Jones,Actor,Edgar Jones,Distributor,Pathe,Public domain,NHF cube,Film: 16mm,,,,,NHF cube,,University of Maine (Organization),6-4108,,,"Conclusion of reel 1, Lester Adams, M.D. home movies (Talbot and Barbara Hackett Collection). Excerpt begins at 00:14:57 of original (1361.0001).",NHF cube,,Moving Image,,NHF cube, ,1921,Moving image/Answer print,NHF cube,Film,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,33:05,,,[16 fps],,
,,,,,,,,Episode,Holman Day Series,,,,,[LC Authorities],Silent films,,Outdoors,,,Temporal,1921,,,Director,Edgar Jones,Actor,Edna May Sperl,,,,NHF cube,Film: 16mm,,,,,NHF cube,,,,,,http://windowsonmaine.library.umaine.edu/objects/6-4108.mov,NHF cube,,Moving Image,,NHF cube, ,1921,Moving image/BW internegative,NHF cube,Film,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,33:05,,,[16 fps],,
,,,,,,,,,,,,,,,,,,,,,,,,Writer,Holman Day,Actor,Carlton Brickert,,,,NHF ref. vault,Betacam SP,,,,,NHF ref. vault,,,,,,,NHF ref. vault,,Moving Image,,NHF ref. vault, ,,Moving image/Viewing copy,NHF ref. vault,NTSC video (interlaced),,,,Silent,NHF ref. vault,B&W,4:3,,NHF ref. vault,,33:05,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,Actor,William Peavey,,,,NHF study ctr.,DVD-R,,,,,NHF study ctr.,,,,,,,NHF study ctr.,,Moving Image,,NHF study ctr., ,,Moving image/Viewing copy,NHF study ctr.,NTSC video (interlaced),,,,Silent,NHF study ctr.,B&W,4:3,,NHF study ctr.,,33:05,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,Actor,"Ben Hendricks, Jr.",,,,UTAustin server,,video/quicktime,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,QuickTime,47.13 MB,,Sorenson 3,Silent,UTAustin server,B&W,4:3,240x180,UTAustin server,,33:05,,199.09 kbits/s,15 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTAustin server,,video/quicktime,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,QuickTime,83.09 MB,,Sorenson 3,Silent,UTAustin server,B&W,4:3,320x240,UTAustin server,,33:05,,350.99 kbits/s,15 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTAustin server,,video/quicktime,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,QuickTime,190.99 MB,,Sorenson 3,Silent,UTAustin server,B&W,4:3,640x480,UTAustin server,,33:05,,806.75 kbits/s,15 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTAustin server,,video/mp4,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,MPEG video,51.24 MB,,MPEG-4,Silent,UTAustin server,B&W,4:3,240x180,UTAustin server,,33:05,,205.19 kbits/s,15 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTAustin server,,video/mp4,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,MPEG video,84.64 MB,,MPEG-4,Silent,UTAustin server,B&W,4:3,320x240,UTAustin server,,33:05,,343.53 kbits/s,15 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTAustin server,,video/mp4,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,MPEG video,195.86 MB,,MPEG-4,Silent,UTAustin server,B&W,4:3,640x480,UTAustin server,,33:05,,802.26 kbits/s,29.97 fps (59.94 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTAustin server,,video/H264,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,QuickTime,42.68 MB,,H.264,Silent,UTAustin server,B&W,4:3,240x180,UTAustin server,,33:05,,180.30 kbits/s,15 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTAustin server,,video/H264,,,,UTAustin server,,,,,,,UTAustin server,,Moving Image,,UTAustin server,2007,,Moving image/Viewing copy,UTAustin server,QuickTime,77.96 MB,,H.264,Silent,UTAustin server,B&W,4:3,320x240,UTAustin server,,33:05,,329.30 kbits/s,15 fps,,
