Collection Name,Acc. #,Cat. #,Title,Si./Sd.,Col./B&W,Notes,Year,Index Terms
Bangor Historical Society/WABI Collection,0441.0001,1044-01-WABI-65,[Day with State Police Trooper in Orono],si.,b&w,"A day in the life of a Maine State Police officer in Orono, following a trooper driving a police cruiser on the interstate highway, city streets, and rural dirt roads.  Along the way he visits the office of the Air Police, the Department of Motor Vehicles, and tests a firearm.  When not patrolling, troopers must follow through with paper work and investigations. This portion of the trooper's day is spent questioning a man in the hospital, visiting district court, and inspecting the scene of an automobile accident.  (This is the first part of a longer television piece that includes community outreach at an elementary school, and a sound segment with the State Police Commissioner commenting on police work and training.)",1965,Accidents/ Law enforcement/ Police
Bangor Historical Society/WABI Collection,0304.0001,0001-04-WABI-55,[Bangor Evacuation Scenes],si.,b&w,"A civil defense practice evacuation of the city of Bangor, Maine shot by the WABI -TV Special Reports Team showing cars and buses driving on  Bangor streets. Men with headsets monitor telephones at the Bangor Amateur Radio Emergency Corp and Bangor Civil Defense headquarters.  Civil defense workers carry patients on stretchers out of the Bangor Osteopathic Hospital and load them into ambulances while onlookers watch.  Students walk out of Bangor High School in single file.  Helicopter and Air Force planes fly overhead while a WABI-TV reporter talks into microphone on the street. Civil defense officer directs vehicles that slowly drive out of the city and Bangor Fire Department fire fighters watch beside their truck.  Extended footage of deserted downtown with no cars or people and vacant stores, including footage of streets taken from moving vehicle and aerial footage of the deserted city taken from airplane.",1955,Civil defense/ Cold War
"Clark, Charles S. Collection",1488.0020,n/a,[Summer Fairs],si.,col.,"County fairs in Blue Hill and Windsor, Maine, including children on amusement rides including a swing ride, Ferris wheel-type ride, and small roller coaster. People look at animals in stalls, cattle on parade, and oxen hauling loads on sleds. Crowds at fairground. Other events include horses on racetrack for harness racing and two women dancers with a male announcer before a carnival strip show.",1965,Agricultural exhibitions/ Amateur films/ Amusement rides/ Livestock
"Wright, Walter Woodman Collection",0996.0004,n/a,[Summer County Fair],si.,b&w,A county fair in Maine during the summer.  Children ride Ferris wheels and swing rides and spectators watch harness racing.  Farmers display their livestock and parade their steers around the fairgrounds.  ,[1929-1934],Agricultural exhibitions/ Amateur films/ Amusement rides/ Livestock
Maine Department of Inland Fisheries and Wildlife Collection,0903.0001,n/a,Eagle: Rebirth in Maine,sd.,col.,"The rehabilitation of the North American bald eagle in Maine from the 1970s through the early 1990s.  Discusses attempts to identify and track movements of eagles across the continent and identify causes of the decline in eagle in population, including the effects of chemical pesticides such as DDT on breeding and reproduction.  Also follows the destruction of eagles’ habitats with archival footage of large sailing ships at sea.  1974 commentary by Paul Nickerson of the United States Fish and Wildlife Service on infertile eagle nests with footage of aerial DDT spraying.  Includes footage of the first attempt to transplant healthy eagle eggs from the Midwest to Maine in order to help restore Maine’s eagle population, and ‘ABE,’ the American Bicentennial Eagle.  Includes numerous shots of eagles in flight, nesting, mating, hunting, and being tagged by wildlife officials.",1992,Eagles/ Wildlife reintroduction
"Stewart, Archie Collection",1108.0004-.0005,n/a,[The Deerslayers],si.,b&w,"A hunting trip to Maine by Archie Stewart and Howard Kendall.  The two men travel to Perry, Maine from New York state by train, then drive a car to a lake where they transfer their luggage to a motor boat on Grand Lake Stream and ride through heavy fog on rough water to West Grand Lake.  They then carry a canoe to Lower Sysladobsis Lake, load the canoe with their rifles and supplies, and paddle off.  After reaching their camp along the lake’s shore, they check their rifles and eat before hunting.  Includes hunting footage in the woods of both men shooting their rifles and Archie tracking a deer.  Howard drags a dead deer and later carries it on his back through the woods.  Archie also carries a buck on his back.  The deer are hung from a tree and later dragged out of the woods with the aid of a horse-drawn wagon.  After hunting, the men travel back to Perry by canoe and boat, then take the train back to New York.",1926,Amateur films/ Canoes and canoeing/ Deer/ Firearms/ Hunting
Fogler Library Collection,1200,5271-01-STUM-30,From Stump to Ship,sd.,b&w,"The year-round activities of the Machias Lumber Company on the Machias River in Washington County, Maine. Includes scenes of winter logging in the forest with hand tools and horses, as well as the spring log drive, with loggers using peaveys to break up log jams on icy rivers as the logs are moved from the forest to the mill. Lumber company president Alfred Ames and loggers pose in logging camp. Horses twitching logs through woods. Includes footage of lumber loaded onto schooners in Machias for transport to New York and schooner being towed to sea by sardine boat. Narration is provided by Maine humorist Tim Sample, reading the original 1930 script written by Ames.",1985,Amateur Films/ Boats and boating/ Log transportation/ Logging
"Searls, Richard Collection",0928.0001,n/a,Trap Day,sd.,col.,"The annual midwinter practice of setting lobster traps by the lobstermen on Monhegan Island. Narration throughout is by a young boy and girl reciting a poem about trap day. Also features commentary by lobstermen about lobstering and trap day. Footage includes filling bait bags for the lobster traps with chopped herring, traps being loaded onto boats in early morning by the families of lobstermen, and traps being pulled up at sea. Depicts the winter life of the Monhegan lobstermen and their community with scenes of heavy wind and snow on the island and the lobstermen gathering in their fish house to play cribbage and socialize.",1977,Boats and boating/ Lobster industry/ Winter/ Working environment
Bangor & Aroostook Railroad Collection,0825.0001,5026-01-BARR-56,Assignment in Aroostook,sd.,col.,"Sergeant and family come to Limestone, Maine for assignment on a B-36 intercontinental bomber at Loring Air Force Base. The family travels by train to Caribou, and upon arrival they are picked up in a U.S. Air Force station wagon.  Initially apprehensive, the family adjusts to life on the base and acquires a new Ford Victoria convertible car which they use to travel into the Aroostook County countryside.  The family watches potato harvesting and visits Fort Kent.  Husband and wife later travel to Fish River Lake by seaplane for a fishing vacation, and they fly fish with a guide in canoes.  Fish are later fried outdoors beside lake.  Film includes aerial footage of facilities at Loring Air Force Base including school, church, and hospital, scenes of family car on rural highways in autumn, and footage of the B-36 crew on runway and the bomber in flight.",[1955-1956],Airplanes/ Canoes and canoeing/ Fishing/ Military bases/ Railroad travel
"Knowlton, John D. Collection",0895.0002,n/a,[John D. Knowlton - home movies] Reel 2 excerpt,si.,b&w and col.,"Winter ice fishing home movies shot by John D. Knowlton. Footage consists of many short shots. Boy drags a shovel behind him through a large puddle of melted snow. Children walk on frozen, snow-covered lake and eat and drink while sitting on the snow.  Exterior shot of the ice fishing shelter and adults standing in front of it with close ups of each person’s face followed by brief shot of young boy ice fishing with line tied to stick. Children eat and drink outdoors on the frozen lake at makeshift table set up beside Knowltons, Inc. bakery truck while a small campfire heats a pot. Three small children in winter attire at the table drink from tea cups. Brief b&w footage of children swimming in lake and small boy paddling a little boat with an oar. Boy on outdoor porch in winter churns ice cream in bucket with help from slightly older girl. Young boy in winter attire climbs snow pile.",[1933-1946],Amateur films/ Children/ Ice fishing/ Winter
