PBCoreTitle::title,PBCoreDescription::descriptionType,PBCoreDescription::description,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreInstantiation::formatLocation,PBCoreFormatIdentifier::formatIdentifierSource,PBCoreFormatIdentifier::formatIdentifier,PBCoreTitle::titleType,PBCoreTitle::title,PBCoreDescription::description,PBCoreDescription::descriptionType,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreSubject::subjectAuthorityUsed,PBCoreSubject::subject,PBCoreGenre::genreAuthorityUsed,PBCoreGenre::genre,PBCoreRelation::relationType,PBCoreRelation::relationIdentifier,PBCoreCoverage::coverageType,PBCoreCoverage::coverage,PBCoreAudienceLevel::audienceLevel,PBCoreAudienceRating::audienceRating,PBCoreCreator::creatorRole,PBCoreCreator::creator,PBCoreContributor::contributorRole,PBCoreContributor::contributor,PBCorePublisher::publisherRole,PBCorePublisher::publisher,PBCoreRights::rightSummary,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatPhysical,PBCoreInstantiation::formatDigital,asset.instance..PBCInstantiation.pk::formatLocation,asset.instance..PBCInstantiation.pk::formatPhysical,asset.instance..PBCInstantiation.pk::formatDigital,PBCoreInstantiation::formatLocation,asset.instance..PBCInstantiation.pk::formatMediaType,asset.instance..PBCFormatID.fk::formatIdentifierSource,asset.instance..PBCFormatID.fk::formatIdentifier,assetInstance..PBCDateAvailable.fk::dateAvailableStart,assetInstance..PBCDateAvailable.fk::dateAvailableEnd,assetInstance..PBCAnnotation.fk::annotation,PBCoreInstantiation::formatLocation,PBCoreInstantiation::language,PBCoreInstantiation::formatMediaType,PBCoreInstantiation::alternateModes,PBCoreInstantiation::formatLocation,PBCoreInstantiation::dateCreated,PBCoreInstantiation::dateIssued,PBCoreInstantiation::formatGenerations,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatStandard,PBCoreInstantiation::formatFileSize,PBCoreInstantiation::formatBitDepth,PBCoreInstantiation::formatEncoding,PBCoreInstantiation::formatTracks,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatColors,PBCoreInstantiation::formatAspectRatio,PBCoreInstantiation::formatFrameSize,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatTimeStart,PBCoreInstantiation::formatDuration,PBCoreInstantiation::formatSamplingRate,PBCoreInstantiation::formatDataRate,PBCoreInstantiation::formatFrameRate,PBCoreExtension::extensionAuthorityUsed,PBCoreExtension::extension
From Stump to Ship,Abstract,###############################################################################################################################################################################################################################################################,Northeast Historic Film (Organization),1200,NHF cube,Northeast Historic Film (Organization),1200,Reconstructed Version,From Stump to Ship,###############################################################################################################################################################################################################################################################,Abstract,Northeast Historic Film (Organization),1200,[LC authorities],Boats and boating,[LC authorities],Amateur films,Is Part Of,University of Maine Collection,Spatial,"Machias, ME",,,Creator,Alfred Ames,Executive Producer,Henry Nevison,Publisher,"Special Collections, Fogler Library, University of Maine",Northeast Historic Film,NHF cube,Film: 16mm,,,,,NHF cube,,University of Maine (Organization),6-4108,,,"Conclusion of reel 1, Lester Adams, M.D. home movies (Talbot and Barbara Hackett Collection). Excerpt begins at 00:14:57 of original (1361.0001).",NHF cube,,Moving Image,,NHF cube,1985,,Moving image/Answer print,NHF cube,,,,,Mono,NHF cube,B&W,4:3,,NHF cube,,00:28:00,,,24 fps,,
,,,,,,,,Alternative,"1930 Logging Film, A",###############################################################################################################################################################################################################################################################,Preservation,Northeast Historic Film (Organization),5271-01-STUM-30,[LC authorities],Log transportation,[LC authorities],Short films,,,Spatial,Maine River Valley,,,Creator,Sheldon Weiss Productions,Producer,David Weiss,,,University of Maine,NHF cube,Film: 16mm,,,,,NHF cube,,,,,,http://windowsonmaine.library.umaine.edu/objects/6-4108.mov,NHF cube,,Moving Image,,NHF cube,1985,,Moving image/Answer print,NHF cube,,,,,Mono,NHF cube,B&W,4:3,,NHF cube,,00:28:00,,,24 fps,,
,,,,,,,,,,,,,,[LC authorities],Logging,,,,,Temporal,1930,,,,,Producer,Karan Sheldon,,,,NHF cube,1 inch video tape,,,,,NHF cube,,,,,,,NHF cube,,Moving Image,,NHF cube,1987-20-02,,,NHF cube,,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,00:28:00,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,Tim Sample,,,,NHF cube,1 inch video tape,,,,,NHF cube,,,,,,,NHF cube,,Moving Image,,NHF cube,1996,,Moving image/Master,NHF cube,,,,,Mono,NHF cube,B&W,4:3,,NHF cube,,00:28:00,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,Music Director,Sandy Ives,,,,NHF cube,3/4 inch videotape: U-matic,,,,,NHF cube,,,,,,,NHF cube,,Moving Image,,NHF cube,,,Moving image/Master,NHF cube,,,,,Mono,NHF cube,B&W,4:3,,NHF cube,,00:28:00,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,Music Director,Albert Pelletier,,,,NHF cube,Film: 35mm,,,,,NHF cube,,,,,,,NHF cube,,Moving Image,,NHF cube,2003-04,,Moving image/BW internegative,NHF cube,,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,00:28:00,,,24 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Music Director,Bill Schubeck,,,,NHF cube,Film: 35mm,,,,,NHF cube,,,,,,,NHF cube,,Sound,,NHF cube,2003-04,,Audio/Optical track,NHF cube,,,,,Mono,NHF cube,,,,NHF cube,,00:28:00,,,24 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Graphics,Mike Mardosa,,,,NHF cube,Film: 35mm,,,,,NHF cube,,,,,,,NHF cube,,Moving Image,,NHF cube,2003-04,,Moving image/Release print,NHF cube,,,,,Mono,NHF cube,B&W,4:3,,NHF cube,,00:28:00,,,24 fps,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Script Editor,Karan Sheldon,,,,NHF ref. vault,Betacam SP,,,,,NHF ref. vault,,,,,,,NHF ref. vault,,Moving Image,,NHF ref. vault,,,Moving image/Submaster,NHF ref. vault,,,,,Mono,NHF ref. vault,B&W,4:3,,NHF ref. vault,,00:28:00,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,Film Editor,Henry Nevison,,,,NHF study ctr.,1/2 inch videotape: VCR,,,,,NHF study ctr.,,,,,,,NHF study ctr.,,Moving Image,,NHF study ctr.,,,Moving image/Viewing copy,NHF study ctr.,,,,,Mono,NHF study ctr.,B&W,4:3,,NHF study ctr.,,00:28:00,,,30 fps (60 fields/sec),,
