videoid, locationurl ,title,description,digitizationdate,amtMotion,transcriptText,statsText,numberOfFrames,verified?,timestamp,keywords,posterframe,duration,restricted?,creationdate,framerate,sound,color,edited?,segmentation,sponsorname,contribOrgID,languageid,frameDimensionID,digitizOrgID,genrePrimaryID,genreSecondaryID,RightsInformationID,
10201,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-5-7-07-Margaret_Haines.mp4,EBLIP4 Keynote 5-7-07,"Margaret Haines. On the basis of her long career in LIS, Margaret Haines, a former national library advisor to the NHS, president of CILIP in the UK and former Director of the Libraries for King's College, London, discusses her involvement in evidence based practice library and information practice. Margaret notes the relevance of evidence based practice in a variety of professions including LIS and calls for its adoption by individual professionals, employers and professional associations. ",5/20/2007,Low,,,,No,,Evidence based practice; library and information services; professional;,20457,1:12:39,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3;; 5,4,1,
10202,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4_video-Choices-in-Chaos.mp4,EBLIP4 Concurrent Session,"A pair of talks on user needs.  Michaelin McKnight talks about user needs during emergencies and disasters.  She discusses the differences between emergencies and Disasters and how they affect user needs.  There is also discussion of spontaneous service creation on the part of libraries and other information providers.  Haruki Nagata talks about outcome assessment of academic libraries.  His research examines the effects of academic libraries on student performance, and brings up questions of what is needed for an academic library to have maximal benefit to students.",5/20/2007,Low,,,,No,,"Library services; Disasters; Hurricane, Katrina; Academic; libraries; Evaluation; associations; health sciences; ",20457,0:56:28,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10203,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-JosieMarieGriffiths-5-7-07.mp4,EBLIP4 Keynote JoseMarie Griffith,"Jose-Marie Griffiths, Dean of UNC SILS, discusses her studies on the measurement and value of library and information services in public libraries. Methods used in her studies to measure variables such as return on investment, communications with shareholders, service evaluation are reviewed. ",5/20/2007,Low,,,,No,,Value of information; public libraries; economics of information; economic value of libraries;,20457,0:51:27,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8, 3 ;5,4,1,
10204,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP45-8-07pm.mp4,EBLIP4 Keynote 5-8-07 PM,Professor Mark Frasier from the UNC School of Social Work discusses evidence based practice in the field of social work and how the research knowledge base of social work has been turned into tools that are easier to consult by practitioners than the original research literature. Social work provides another model of applying research to practice that may be useful in library and information science.,5/20/2007,Low,,,,No,,Evidence based practice; social work; decision making; library and information science research;,20457,1:06:50,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10205,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-Booth-Plutchak.mp4,EBLIP4 Keynote 5-9-07 Booth Plutchak Debate,"Journal of the Medical Library Association and health sciences library director and Andrew Booth, a leader in EBLIP from the U.K., discuss whether the model of evidence based practice as it has evolved in other fields such as health sciences can be applied to the field of library and information science. Plutchak questions whether the ""big questions"" in the LIS field can ever be address by the currently available models and Booth counters with arguments in the affirmative. The speakers use the characteristic humor of the classical debating format to make their points. ",5/20/2007,Low,,,,No,,Evidence based practice; health sciences; decision making; ,20457,1:25:33,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10206,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-5-7-07-Joanne_Marshall.mp4,EBLIP4 Welcome 5-7-07,"Professor Joanne Marshall, EBLIP4 conference chair from UNC SILS,introduces the EBLIP4 conference and provides a rationale for adopting evidence based practice as a model for use in library and information settings. Marshall sees evidence based practice as a way to link the growing body of LIS research with the world of LIS practice. In addition, she describes the goals of this international conference, noting the EBLIP4 marks the first time that the conference has taken place in the United States.  ",5/20/2007,Low,,,,No,,Evidence based practice; decision making; library and information science research; EBLIP conference;,20457,0:22:39,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10207,http://www.ibiblio.org/openvideo/video/infoinlife/TobyConsidine.mp4,Discovering the Unseen World,"Toby Considine discusses the need for interoperability, the inefficiency of systems when interoperability doesn't occur, and the specific design needs for any system if interoperabilty is to occur.",11/20/2007,Low,,,,No,,systems design; interoperability; software standards; information services;,20457,1:00:44,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10208,http://www.ibiblio.org/openvideo/video/infoinlife/KilgourSharingKnowledge-panel1.mp4,Frederick G. Kilgour panel: Afternoon Panel 1,"A Panel of speakers with library related backgrounds discuss the future of the Library and Information Science professions.  Each speaker discuses library/Information science skills and how they apply to the speakers background, profession, and vision of the future.  The importance of management skills, critical reasoning, and ethics are specifically discussed.",5/20/2007,Low,,,,No,,information; professionals; library; skills,20457,0:55:45,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10209,http://www.ibiblio.org/openvideo/video/infoinlife/Jay_Jordan-SharingKnowledge.mp4,The Future of the Profession: Educational Needs of ILS Professionals in the 21st Century,"OCLC President and CEO, Jay Jordan discusses skills for 21st century information professionals",5/20/2007,Low,,,,No,,information skills;  OCLC;,20457,0:56:46,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10210,http://www.ibiblio.org/openvideo/video/infoinlife/KilgourSharingKnowledge-panel2.mp4,Sharing Knowledge Panel,"Panel discussed the future of information professions. Michel Bézy, program director, IBM, Research Triangle Park, NC; Mary Boone, state librarian of North Carolina and SILS distinguished alumna; Deborah Jakubs, university librarian and vice provost for Library Affairs, Duke University, Durham, NC; and Duncan Smith, NoveList product manager, EBSCO Publishing, Durham, NC. Dr. David Carr, associate professor at SILS moderates.",5/20/2007,Low,,,,No,,information professionals; skills; future trends;,20457,0:51:37,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
