videoid,locationurl,filesize,,
6000,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-AheadAboveTheClouds/mpeg2/NASAConnect-AheadAboveTheClouds.mpg,1.19,,
6006,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-BetterHealthFromSpaceToEarth/mpeg2/NASAConnect-BetterHealthFromSpaceToEarth.mpg,1.19,,
6014,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-DancingInTheNightSky/mpeg2/NASAConnect-DancingInTheNightSky.mpg,1.19,,
6020,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-GeometryAndAlgebra-GlowWithTheFlow/mpeg2/NASAConnect-GeometryAndAlgebra-GlowWithTheFlow.mpg,1.19,,
6027,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-GeometryOfExploration-EyesOverMars/mpeg2/NASAConnect-GeometryOfExploration-EyesOverMars.mpg,1.19,,
6034,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PersonalSatelliteAssistant-TheAstronautsHelper/mpeg2/NASAConnect-PersonalSatelliteAssistant-TheAstronautsHelper.mpg,1.2,,
6041,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-ShapesOfFlight/mpeg2/NASAConnect-ShapesOfFlight.mpg,1277.76,,
6048,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-VirtualEarth/mpeg2/NASAConnect-VirtualEarth.mpg,1227.99,,
6055,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-Proportionality-TheXPlaneGeneration/mpeg2/NASAConnect-Proportionality-TheXPlaneGeneration.mpg,1227.73,,
6063,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-TheVenusTransit/mpeg2/NASAConnect-TheVenusTransit.mpg,1230.98,,
6070,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-WhoAddedTheMicroToGravity/mpeg2/NASAConnect-WhoAddedTheMicroToGravity.mpg,1226.84,,
6077,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-FestivalOfFlight/mpeg2/NASAConnect-FestivalOfFlight.mpg,1227.68,,
6082,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-GeometryOfExploration-WaterBelowTheSurfaceOfMars/mpeg2/NASAConnect-GeometryOfExplorationWaterBelowTheSurfaceOfMars.mpg,1226.6,,
6089,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-MeasurementRatiosAndGraphing-SafetyFirst/mpeg2/NASAConnect-MeasurementRatiosAndGraphing-SafetyFirst.mpg,1228.49,,
6095,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-MirrorMirrorOnTheUniverse/mpeg2/NASAConnect-MirrorMirrorOnTheUniverse.mpg,1227.3,,
6102,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg2/NASAConnect-PlaneWeather.mpg,1.23,,
6108,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg2/NASAConnect-RecipesForTheFuture.mpg,1.18,,
6114,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-TheMeasurementOfAllThings-AtmosphericDetectives/mpeg2/NASAConnect-TheMeasurementOfAllThingsAtmosphericDetectives.mpg,1224.03,,
6122,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-ToolsOfTheAeronauticTrade/mpeg2/NASAConnect-ToolsOfTheAeronauticTrade.mpg,1228.02,,
6128,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-WhereverYouGoThereYouAre/mpeg2/NASAConnect-WhereverYouGoThereYouAre.mpg,1308.32,,
