videoid, locationurl ,compressionfiletype, filesize,
10201,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-5-7-07-Margaret_Haines.mp4,4,234.7,
10202,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4_video-Choices-in-Chaos.mp4,4,188,
10203,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-JosieMarieGriffiths-5-7-07.mp4,4,114.4,
10204,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP45-8-07pm.mp4,4,198.8,
10205,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-Booth-Plutchak.mp4,4,269.5,
10206,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-5-7-07-Joanne_Marshall.mp4,4,76.2,
10207,http://www.ibiblio.org/openvideo/video/infoinlife/TobyConsidine.mp4,4,183.7,
10208,http://www.ibiblio.org/openvideo/video/infoinlife/KilgourSharingKnowledge-panel1.mp4,4,195.6,
10209,http://www.ibiblio.org/openvideo/video/infoinlife/Jay_Jordan-SharingKnowledge.mp4,4,176.9,
10210,http://www.ibiblio.org/openvideo/video/infoinlife/KilgourSharingKnowledge-panel2.mp4,4,171.6,
10211,http://www.ibiblio.org/openvideo/video/infoinlife/DJ-Spooky.mp4,4,285.2,
10212,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Jed-Dube.mp4,4,106.6,
10213,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Alice-Etim.mp4,4,119.4,
10214,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Weimao-Ke.mp4,4,98.9,
10215,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-CassidySugimoto.mp4,4,86.9,
10216,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Elizabeth-L-Innovation.mp4,4,98.1,
10217,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Rachael-Clemens.mp4,4,87.2,
10218,http://www.ibiblio.org/openvideo/video/infoinlife/FutureOfLibrarianship.mp4,4,67.8,
10219,http://www.ibiblio.org/openvideo/video/infoinlife/MarchioniniHCIR.mp4,4,285.9,
10220,http://www.ibiblio.org/openvideo/video/infoinlife/MarchioniniSurrogates.mp4,4,194.1,
10221,http://www.ibiblio.org/openvideo/video/infoinlife/Cathy_Blake-Info-SynthesisPart1.mp4,4,106.6,
